iter	Logloss
0	0.6928824436
1	0.6926676014
2	0.6924177959
3	0.6921961638
4	0.6919518142
5	0.6917654374
6	0.691542993
7	0.6913011662
8	0.6910565842
9	0.6908332934
10	0.6905852472
11	0.6903534261
12	0.6901276521
13	0.6898831442
14	0.6896653341
15	0.6894134021
16	0.6892248411
17	0.6890120504
18	0.6887704368
19	0.6885386317
20	0.6883226596
21	0.6880787122
22	0.6878918646
23	0.6877051295
24	0.6874565724
25	0.6872618221
26	0.6870208152
27	0.6868125444
28	0.6866041604
29	0.6863834043
30	0.6861554042
31	0.6859187982
32	0.685686012
33	0.6854533093
34	0.6852442812
35	0.6850368172
36	0.6848038547
37	0.6845943627
38	0.6844121411
39	0.684174187
40	0.683965079
41	0.6837486989
42	0.683525093
43	0.6832932466
44	0.6831122429
45	0.6829155365
46	0.6826881408
47	0.6824668111
48	0.6822649725
49	0.6820653585
50	0.6818467983
51	0.6816357885
52	0.6814365899
53	0.6812379197
54	0.6810279124
55	0.680834661
56	0.6806291825
57	0.6804129068
58	0.680243735
59	0.6800094433
60	0.6798041078
61	0.6795998901
62	0.6793864022
63	0.6791802063
64	0.6789449636
65	0.6787284203
66	0.6785212114
67	0.6783109773
68	0.6780929425
69	0.6778773156
70	0.6776680737
71	0.6774855123
72	0.677310692
73	0.6771163379
74	0.6769010525
75	0.6766997906
76	0.6765010353
77	0.6763088069
78	0.6760983626
79	0.675889738
80	0.6756734162
81	0.6754588244
82	0.6752906459
83	0.6750807002
84	0.6748688759
85	0.6746667109
86	0.6744605723
87	0.6742471828
88	0.6740439667
89	0.6738218907
90	0.6736295099
91	0.6734251291
92	0.6732394948
93	0.6730303079
94	0.6728390702
95	0.6726248544
96	0.6724689798
97	0.6722901045
98	0.6721022428
99	0.6718888467
100	0.6717039092
101	0.6715072098
102	0.6713192194
103	0.6711201332
104	0.670924344
105	0.6707251973
106	0.6705276866
107	0.6703428678
108	0.670162182
109	0.6699598079
110	0.6697662515
111	0.6695445955
112	0.6693626568
113	0.669175094
114	0.6689824262
115	0.6687760385
116	0.6685750182
117	0.6683898162
118	0.6681921138
119	0.6680097727
120	0.6678224857
121	0.6676390559
122	0.667451394
123	0.6672622114
124	0.667056322
125	0.6668617074
126	0.6666740695
127	0.6665009764
128	0.6663111183
129	0.6661349777
130	0.6659566928
131	0.6658116986
132	0.6656238597
133	0.6654205394
134	0.66522068
135	0.6650203411
136	0.6648510338
137	0.664669483
138	0.664514468
139	0.6643299719
140	0.6641403349
141	0.6639845992
142	0.6638090489
143	0.6636673009
144	0.6634861923
145	0.6632970046
146	0.6631259197
147	0.6629536532
148	0.6627858695
149	0.6626436148
150	0.6624564819
151	0.6622732442
152	0.6620759736
153	0.66189828
154	0.6617414548
